space_name,address,postcode,brand,checkin,checkout
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,ONATERI,2026-07-30,2026-08-02
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,Big Ez,2026-07-31,2026-08-02
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Hunza G,2026-06-01,2026-08-09
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Kimar,2026-08-20,2026-08-24
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,VIXII Lab Diamond Pop Up,2026-08-10,2026-08-24
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Steadtler Pop Up,2026-08-25,2026-08-25
"The Sidings, Waterloo - The White Box Space (UG09)",UG09 The Sidings Waterloo,SE1 7BH,Belleza Beauty,2026-02-27,2026-08-27
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Steadtler Pop Up,2026-08-26,2026-08-30
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Pushkin Vertigo Pop-Up,2026-08-31,2026-09-06
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,MOTEL ROCKS,2026-09-01,2026-09-07
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,Bocci,2026-09-11,2026-09-21
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Trace Publicity,2026-09-17,2026-09-21
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Polina Piëch,2026-10-01,2026-10-08
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Silverlining,2026-10-09,2026-10-19
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,THEGATHER Shop,2026-10-14,2026-10-26
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Memree,2026-11-03,2026-11-09
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,George Rigby Art Exhibition,2026-12-10,2026-12-12
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Velvet Desert,2026-11-16,2026-12-16
"The Sidings, Waterloo — The Retail Strip Space (UG08)",UG08 The Sidings Waterloo,SE1 7LY,Stretch Life,2026-03-27,2027-03-31
